id,name,county,type
17002700,Arnold's,Cottonwood,lake
17003300,Augusta,Cottonwood,lake
17001600,Bartsh,Cottonwood,lake
17001800,Bat,Cottonwood,lake
17005400,Bean,Cottonwood,lake
17000700,Bingham,Cottonwood,lake
17008600,Bingham Pond,Cottonwood,lake
17004900,Carey,Cottonwood,lake
17000800,Clear,Cottonwood,lake
17005700,Clear,Cottonwood,lake
17002200,Cottonwood,Cottonwood,lake
17005600,Double,Cottonwood,lake
17005601,Double (North Portion),Cottonwood,lake
17005602,Double (South Portion),Cottonwood,lake
17003800,Duck,Cottonwood,lake
17002000,Eagle,Cottonwood,lake
17003100,Harder,Cottonwood,lake
17003700,Hurricane,Cottonwood,lake
17001900,Long,Cottonwood,lake
17004802,Long,Cottonwood,lake
17001500,Maiden,Cottonwood,lake
17000300,Mountain,Cottonwood,lake
17004400,North Oaks,Cottonwood,lake
17007200,Oak Outlet,Cottonwood,lake
17004801,Round,Cottonwood,lake
17008500,Shoper-Bush Reservoir,Cottonwood,lake
17004100,South Clear,Cottonwood,lake
17002400,String,Cottonwood,lake
17007300,Summit,Cottonwood,lake
17006000,Talcot,Cottonwood,lake
17008300,Talcot Pond,Cottonwood,lake
17001200,Three,Cottonwood,lake
17002101,Warren,Cottonwood,lake
17002102,Warren Pond,Cottonwood,lake
17001300,Wolf,Cottonwood,lake
74007000,Andrea Pond,Steele,lake
74002300,Beaver,Steele,lake
74007700,Bernadette Pond,Steele,lake
74007100,Brian Pond,Steele,lake
74007600,Celestine Pond,Steele,lake
74006700,Chase Pond,Steele,lake
74000300,East Marsh,Steele,lake
74002400,Fositen,Steele,lake
74001900,Kohlmeier,Steele,lake
74007300,Linda Pond,Steele,lake
74007400,Little Log Pond,Steele,lake
74002200,Lonergan,Steele,lake
74006300,Morehouse Park Pond,Steele,lake
74000402,Oak Glen (East Bay),Steele,lake
74000401,Oak Glen (Main Bay),Steele,lake
74000100,Rice,Steele,lake
74000600,Rickert,Steele,lake
74006800,Shianne Pond,Steele,lake
74007500,Sunday Pond,Steele,lake
