Fetching lake list for Lake County (ID=38)...
  Found 737 lakes.
  [1/737] Abinodji (DOW 38050700)
  [2/737] Acorn (DOW 38061800)
  [3/737] Adams (DOW 38015300)
  [4/737] Adventure (DOW 38051200)
  [5/737] Agamok (DOW 38001100)
  [6/737] Ahmakose (DOW 38036500)
  [7/737] Ahsub (DOW 38051600)
  [8/737] Alger (DOW 38005400)
  [9/737] Alice (DOW 38033000)
  [10/737] Alseth (DOW 38092200)
  [11/737] Alsike (DOW 38067200)
  [12/737] Alworth (DOW 38040100)
  [13/737] Amber (DOW 38033600)
  [14/737] Amberger (DOW 38064600)
  [15/737] Amimi (DOW 38013000)
  [16/737] Amoeber (DOW 38022700)
  [17/737] Andek (DOW 38030500)
  [18/737] Anit (DOW 38015700)
  [19/737] Annie (DOW 38019500)
  [20/737] Arkose (DOW 38038200)
  [21/737] Arrow - 1 (DOW 38030300)
  [22/737] Arrow - 2 (DOW 38030400)
  [23/737] Arrow - 3 (DOW 38031000)
  [24/737] Art (DOW 38093000)
  [25/737] Artifact (DOW 38093400)
  [26/737] Artlip (DOW 38002100)
  [27/737] Ashdick (DOW 38021000)
  [28/737] Ashigan (DOW 38050200)
  [29/737] Assawan (DOW 38034400)
  [30/737] Astray (DOW 38072300)
  [31/737] August (DOW 38069100)
  [32/737] Azion (DOW 38078700)
  [33/737] Azure (DOW 38031400)
  [34/737] Bag (DOW 38007700)
  [35/737] Baird (DOW 38069400)
  [36/737] Bakekana (DOW 38022400)
  [37/737] Bald Eagle (DOW 38063700)
  [38/737] Balmy (DOW 38036300)
  [39/737] Balsam (DOW 38024500)
  [40/737] Baltic (DOW 38016700)
  [41/737] Bandana (DOW 38056500)
  [42/737] Barter (DOW 38019700)
  [43/737] Baskatong (DOW 38007300)
  [44/737] Basswood (DOW 38064500)
  [45/737] Basswood (Canada) (DOW 38064500)
  [46/737] Beam (DOW 38047000)
  [47/737] Bean (DOW 38040900)
  [48/737] Bear (DOW 38040800)
  [49/737] Bear (DOW 38040500)
  [50/737] Beaver (DOW 38022300)
  [51/737] Beaver Hut (DOW 38073700)
  [52/737] Becoosin (DOW 38047200)
  [53/737] Bedford (DOW 38035700)
  [54/737] Beetle (DOW 38055100)
  [55/737] Ben (DOW 38093300)
  [56/737] Benezie (DOW 38047300)
  [57/737] Benson (DOW 38001800)
  [58/737] Besho (DOW 38004000)
  [59/737] Bewon (DOW 38013500)
  [60/737] Bill (DOW 38008500)
  [61/737] Bine (DOW 38043700)
  [62/737] Birch (DOW 38053200)
